ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
SBUX,Consumer,edgar,False,2025-10-29,2025-10-29,56.29,0.6125,0.2353,0.5248,0.2593,-0.014749,-0.053377,-0.068243,NEGATIVE,True,True,True
SBUX,Consumer,edgar,False,2025-11-03,2025-11-03,16.6,0.3396,0.0571,0.0833,0.3686,0.001113,0.024855,0.058118,POSITIVE,True,True,True
SBUX,Consumer,edgar,False,2026-01-28,2026-01-28,53.44,0.7326,0.2,0.3469,0.2624,-0.00585,-0.039386,-0.027998,NEGATIVE,True,True,True
SBUX,Consumer,edgar,False,2026-04-02,2026-04-02,21.06,0.4141,0.0769,0.0833,0.4926,-0.000663,,,POSITIVE,False,False,False
SLB,Energy,edgar,False,2025-06-24,2025-06-24,55.15,1.4331,0.3333,0.0417,-0.1315,-0.006819,0.002965,0.002075,NEGATIVE,True,False,False
SLB,Energy,edgar,False,2025-07-16,2025-07-16,30.57,0.6667,0.0909,0.2308,0.4507,-0.013687,-0.0499,-0.02053,NEUTRAL,,,
SLB,Energy,edgar,False,2025-07-18,2025-07-18,40.71,0.1346,0.1375,0.5943,0.4939,-0.038938,-0.00923,0.016441,NEUTRAL,,,
SLB,Energy,edgar,False,2025-10-17,2025-10-17,37.98,0.0572,0.1188,0.6569,0.3319,-0.008809,0.018226,0.093864,NEUTRAL,,,
SLB,Energy,edgar,False,2026-01-23,2026-01-23,37.78,0.1633,0.1051,0.6886,0.43,-0.003447,0.02717,-0.01764,NEUTRAL,,,
SLB,Energy,edgar,False,2026-03-11,2026-03-11,46.49,0.8621,0.2105,0.0,0.2951,0.001247,-0.070464,-0.041156,NEUTRAL,,,
TGT,Consumer,motleyfool,True,2023-11-15,2023-11-15,39.28,0.5641,0.128,0.3745,0.1996,0.177543,0.172398,0.180612,NEUTRAL,,,
TGT,Consumer,motleyfool,True,2024-03-05,2024-03-05,18.93,0.7127,0.0276,0.184,0.0832,0.120207,0.139877,0.116819,POSITIVE,True,True,True
TGT,Consumer,motleyfool,True,2024-08-21,2024-08-21,21.94,0.5412,0.0343,0.3488,0.2287,0.112003,0.106766,0.108023,NEUTRAL,,,
TGT,Consumer,motleyfool,True,2024-11-20,2024-11-20,32.82,0.653,0.0959,0.2933,0.1532,-0.214101,-0.192859,-0.182916,NEUTRAL,,,
TGT,Consumer,edgar,False,2025-03-04,2025-03-04,54.37,0.6257,0.1923,0.4948,0.2347,-0.029977,-0.055565,-0.057221,NEGATIVE,True,True,True
TGT,Consumer,edgar,False,2025-05-21,2025-05-21,51.76,0.5439,0.1959,0.4091,0.1763,-0.052079,-0.039034,-0.022218,NEGATIVE,True,True,True
TGT,Consumer,edgar,False,2025-08-20,2025-08-20,52.27,0.5848,0.1957,0.4091,0.1515,-0.063307,-0.058087,-0.087794,NEGATIVE,True,True,True
TGT,Consumer,edgar,False,2025-11-19,2025-11-19,45.85,0.6144,0.1553,0.4194,0.1316,-0.027674,-0.010279,-0.022026,NEUTRAL,,,
TGT,Consumer,edgar,False,2026-02-11,2026-02-11,0.0,0.0,0.0,0.0,0.1473,0.022482,0.032742,0.031849,POSITIVE,True,True,True
TGT,Consumer,edgar,False,2026-03-03,2026-03-03,46.93,0.4345,0.1698,0.4568,0.2477,0.067421,0.063533,0.061589,NEUTRAL,,,
TSLA,Consumer,edgar,False,2025-10-02,2025-10-02,20.1,0.7576,0.0,0.4,0.3378,-0.05106,-0.013516,-0.045205,POSITIVE,False,False,False
TSLA,Consumer,edgar,False,2025-10-22,2025-10-22,21.36,0.34,0.0182,0.5455,0.3783,-0.008202,-0.020063,0.040556,POSITIVE,False,False,True
TSLA,Consumer,edgar,False,2025-11-07,2025-11-07,29.63,1.8127,0.0108,0.1429,0.0387,-0.036756,-0.014106,-0.098495,NEUTRAL,,,
TSLA,Consumer,edgar,False,2026-01-02,2026-01-02,41.06,1.2048,0.0,1.0,0.4528,-0.025905,-0.037268,-0.030953,NEUTRAL,,,
TSLA,Consumer,edgar,False,2026-01-28,2026-01-28,14.22,0.2123,0.027,0.2667,0.15,0.0013,-0.001137,-0.020747,POSITIVE,True,False,False
TSLA,Consumer,edgar,False,2026-04-02,2026-04-02,18.67,0.7752,0.0,0.3333,0.1597,-0.054215,,,POSITIVE,False,False,False
UNH,Healthcare,edgar,False,2025-05-14,2025-05-14,33.57,1.1013,0.1,0.0556,0.2386,-0.010823,-0.062528,0.032757,NEUTRAL,,,
UNH,Healthcare,edgar,False,2025-07-29,2025-07-29,75.12,2.6578,0.217,0.1875,0.1752,-0.074614,-0.115412,-0.145824,NEGATIVE,True,True,True
UNH,Healthcare,edgar,False,2025-07-31,2025-07-31,7.14,0.0,0.0,0.2857,0.1484,-0.061946,-0.094196,-0.076154,POSITIVE,False,False,False
UNH,Healthcare,edgar,False,2025-10-28,2025-10-28,58.02,0.7515,0.2,0.52,0.3422,0.005082,-0.058009,-0.087956,NEGATIVE,False,True,True
